"","Session","CT","NK","Period","SEQ_GRP","SEQ","NS","player.participate"
"1","S1","None","Local",2,"2",4,"Clique",1
"2","S1","None","Local",2,"2",4,"Clique",1
"3","S1","None","Local",2,"2",4,"Clique",1
"4","S1","None","Local",2,"2",4,"Clique",1
"5","S1","None","Local",2,"2",4,"Clique",1
"6","S1","None","Local",2,"2",5,"Star",0
"7","S1","None","Local",2,"2",5,"Star",1
"8","S1","None","Local",2,"2",5,"Star",1
"9","S1","None","Local",2,"2",5,"Star",1
"10","S1","None","Local",2,"2",5,"Star",1
"11","S1","None","Local",2,"2",6,"Circle",1
"12","S1","None","Local",2,"2",6,"Circle",1
"13","S1","None","Local",2,"2",6,"Circle",1
"14","S1","None","Local",2,"2",6,"Circle",1
"15","S1","None","Local",2,"2",6,"Circle",1
"16","S1","None","Local",7,"2",4,"Circle",1
"17","S1","None","Local",7,"2",4,"Circle",1
"18","S1","None","Local",7,"2",4,"Circle",1
"19","S1","None","Local",7,"2",4,"Circle",1
"20","S1","None","Local",7,"2",4,"Circle",1
"21","S1","None","Local",7,"2",5,"Clique",0
"22","S1","None","Local",7,"2",5,"Clique",1
"23","S1","None","Local",7,"2",5,"Clique",1
"24","S1","None","Local",7,"2",5,"Clique",1
"25","S1","None","Local",7,"2",5,"Clique",1
"26","S1","None","Local",7,"2",6,"Star",1
"27","S1","None","Local",7,"2",6,"Star",1
"28","S1","None","Local",7,"2",6,"Star",1
"29","S1","None","Local",7,"2",6,"Star",1
"30","S1","None","Local",7,"2",6,"Star",1
"31","S1","None","Local",12,"2",4,"Star",1
"32","S1","None","Local",12,"2",4,"Star",1
"33","S1","None","Local",12,"2",4,"Star",1
"34","S1","None","Local",12,"2",4,"Star",1
"35","S1","None","Local",12,"2",4,"Star",0
"36","S1","None","Local",12,"2",5,"Circle",0
"37","S1","None","Local",12,"2",5,"Circle",1
"38","S1","None","Local",12,"2",5,"Circle",1
"39","S1","None","Local",12,"2",5,"Circle",1
"40","S1","None","Local",12,"2",5,"Circle",1
"41","S1","None","Local",12,"2",6,"Clique",1
"42","S1","None","Local",12,"2",6,"Clique",1
"43","S1","None","Local",12,"2",6,"Clique",1
"44","S1","None","Local",12,"2",6,"Clique",1
"45","S1","None","Local",12,"2",6,"Clique",1
"46","S2","None","Global",2,"1",1,"Clique",1
"47","S2","None","Global",2,"1",1,"Clique",1
"48","S2","None","Global",2,"1",1,"Clique",1
"49","S2","None","Global",2,"1",1,"Clique",1
"50","S2","None","Global",2,"1",1,"Clique",1
"51","S2","None","Global",2,"1",2,"Star",1
"52","S2","None","Global",2,"1",2,"Star",1
"53","S2","None","Global",2,"1",2,"Star",1
"54","S2","None","Global",2,"1",2,"Star",1
"55","S2","None","Global",2,"1",2,"Star",1
"56","S2","None","Global",2,"1",3,"Circle",1
"57","S2","None","Global",2,"1",3,"Circle",1
"58","S2","None","Global",2,"1",3,"Circle",1
"59","S2","None","Global",2,"1",3,"Circle",1
"60","S2","None","Global",2,"1",3,"Circle",1
"61","S2","None","Global",7,"1",1,"Star",1
"62","S2","None","Global",7,"1",1,"Star",1
"63","S2","None","Global",7,"1",1,"Star",1
"64","S2","None","Global",7,"1",1,"Star",1
