session.code,subsession__round_number,network_id,network_position,network_type,createdBy__bot,createdBy__code,createdBy__avatar,createdBy__threshold,createdBy__position,wall__node__bot,wall__code,wall__avatar,wall__threshold,wall__position,message,deleted,datetime
5v1jnxek,1,47,2,star,False,q8zpel07,Lizard,1.0,1,True,BOT,Koala,1.0,4,I will not participate.,False,2018-06-12 20:04:53.999419+00:00
5v1jnxek,2,50,2,star,False,q8zpel07,Tiger,0.0,1,True,BOT,Lizard,0.0,5,I will participate.,False,2018-06-12 20:05:07.740113+00:00
jpcl8cn1,1,93,3,circle,False,5ddhgnbn,Rabbit,1.0,5,False,bmo682yv,Chicken,1.0,1,I will participate.,False,2018-06-12 20:36:22.044147+00:00
jpcl8cn1,1,93,3,circle,False,5ddhgnbn,Rabbit,1.0,5,False,v9z5fy71,Snail,1.0,4,I will participate.,False,2018-06-12 20:36:26.997904+00:00
jpcl8cn1,1,93,3,circle,False,kmyedicj,Wolf,1.0,3,False,v9z5fy71,Snail,1.0,4,I will not participate.,False,2018-06-12 20:36:34.888146+00:00
jpcl8cn1,1,93,3,circle,False,kmyedicj,Wolf,1.0,3,False,tu1ap3cf,Rhino,1.0,2,I will not participate.,False,2018-06-12 20:36:34.902911+00:00
jpcl8cn1,1,93,3,circle,False,bmo682yv,Chicken,1.0,1,False,5ddhgnbn,Rabbit,1.0,5,I will not participate.,False,2018-06-12 20:36:47.446959+00:00
jpcl8cn1,1,93,3,circle,False,v9z5fy71,Snail,1.0,4,False,5ddhgnbn,Rabbit,1.0,5,I will participate.,False,2018-06-12 20:36:49.616325+00:00
jpcl8cn1,1,93,3,circle,False,v9z5fy71,Snail,1.0,4,False,kmyedicj,Wolf,1.0,3,I will participate.,False,2018-06-12 20:36:49.624236+00:00
jpcl8cn1,1,93,3,circle,False,bmo682yv,Chicken,1.0,1,False,tu1ap3cf,Rhino,1.0,2,I will not participate.,False,2018-06-12 20:36:53.232914+00:00
jpcl8cn1,1,93,3,circle,False,v9z5fy71,Snail,1.0,4,False,v9z5fy71,Snail,1.0,4,I will participate.,False,2018-06-12 20:37:00.978954+00:00
jpcl8cn1,1,93,3,circle,False,tu1ap3cf,Rhino,1.0,2,False,kmyedicj,Wolf,1.0,3,I will participate.,False,2018-06-12 20:37:01.998484+00:00
jpcl8cn1,1,93,3,circle,False,tu1ap3cf,Rhino,1.0,2,False,bmo682yv,Chicken,1.0,1,I will participate.,False,2018-06-12 20:37:02.000639+00:00
jpcl8cn1,1,91,1,clique,False,2wa759fz,Octopus,1.0,4,False,ptoeag06,Bat,1.0,5,I will not participate.,False,2018-06-12 20:37:46.539445+00:00
jpcl8cn1,1,91,1,clique,False,ptoeag06,Bat,1.0,5,False,yslm5tlc,Bear,1.0,3,I will not participate.,False,2018-06-12 20:37:53.197672+00:00
jpcl8cn1,1,91,1,clique,False,ptoeag06,Bat,1.0,5,False,2wa759fz,Octopus,1.0,4,I will not participate.,False,2018-06-12 20:37:53.200322+00:00
jpcl8cn1,1,91,1,clique,False,ptoeag06,Bat,1.0,5,False,2lc64dhq,Cow,1.0,2,I will not participate.,False,2018-06-12 20:37:53.233453+00:00
jpcl8cn1,1,91,1,clique,False,ptoeag06,Bat,1.0,5,False,1dlnipgo,Lion,1.0,1,I will not participate.,False,2018-06-12 20:37:53.274148+00:00
