session.code,subsession__round_number,network_id,network_position,network_type,createdBy__bot,createdBy__code,createdBy__avatar,createdBy__threshold,createdBy__position,messageBox__node__bot,messageBox__code,messageBox__avatar,messageBox__threshold,messageBox__position,message,deleted,datetime
vll4g1ou,1,1712,2,star,True,sg093zq3,Lizard,0.0,1,True,BOT,Bull,0.0,5,I will participate.,False,2018-07-02 01:52:04.966293+00:00
8mwkqmpt,1,1757,2,star,True,kyj3zxrj,Lizard,0.0,1,True,BOT,Bull,0.0,5,I will participate.,False,2018-07-02 22:16:32.987513+00:00
8mwkqmpt,1,1757,2,star,True,kyj3zxrj,Lizard,0.0,1,True,BOT,Octopus,0.0,4,I will participate.,False,2018-07-02 22:16:33.006968+00:00
8mwkqmpt,1,1757,2,star,True,kyj3zxrj,Lizard,0.0,1,True,BOT,Duck,0.0,2,I will participate.,False,2018-07-02 22:16:33.181086+00:00
8mwkqmpt,1,1757,2,star,True,kyj3zxrj,Lizard,0.0,1,True,BOT,Rhino,0.0,3,I will participate.,False,2018-07-02 22:16:33.185907+00:00
8mwkqmpt,2,1760,2,star,True,kyj3zxrj,Tiger,1.0,1,True,BOT,Lizard,1.0,5,I will participate.,False,2018-07-02 22:17:01.065885+00:00
8mwkqmpt,2,1760,2,star,True,kyj3zxrj,Tiger,1.0,1,True,BOT,Cat,1.0,4,I will participate.,False,2018-07-02 22:17:01.072770+00:00
8mwkqmpt,2,1760,2,star,True,kyj3zxrj,Tiger,1.0,1,True,BOT,Fish,1.0,3,I will participate.,False,2018-07-02 22:17:01.081181+00:00
8mwkqmpt,2,1760,2,star,True,kyj3zxrj,Tiger,1.0,1,True,BOT,Deer,1.0,2,I will participate.,False,2018-07-02 22:17:01.119400+00:00
8mwkqmpt,3,1763,2,star,True,kyj3zxrj,Dolphin,0.0,1,True,BOT,Hippo,1.0,5,I will participate.,False,2018-07-02 22:17:20.141124+00:00
8mwkqmpt,4,1766,2,star,True,kyj3zxrj,Tiger,0.0,1,True,BOT,Horse,1.0,5,I will participate.,False,2018-07-02 22:17:39.570532+00:00
w96xgc75,1,1847,2,star,True,ywj5s808,Lizard,0.0,1,True,BOT,Bull,0.0,5,I will participate.,False,2018-07-02 22:36:54.150588+00:00
w96xgc75,1,1847,2,star,True,ywj5s808,Lizard,0.0,1,True,BOT,Rhino,0.0,3,I will participate.,False,2018-07-02 22:36:54.161028+00:00
w96xgc75,1,1847,2,star,True,ywj5s808,Lizard,0.0,1,True,BOT,Octopus,0.0,4,I will participate.,False,2018-07-02 22:36:54.163887+00:00
w96xgc75,1,1847,2,star,True,ywj5s808,Lizard,0.0,1,True,BOT,Duck,0.0,2,I will participate.,False,2018-07-02 22:36:54.214071+00:00
w96xgc75,2,1850,2,star,True,ywj5s808,Tiger,1.0,1,True,BOT,Lizard,1.0,5,I will participate.,False,2018-07-02 22:37:11.013635+00:00
w96xgc75,2,1850,2,star,True,ywj5s808,Tiger,1.0,1,True,BOT,Cat,1.0,4,I will participate.,False,2018-07-02 22:37:11.027768+00:00
w96xgc75,2,1850,2,star,True,ywj5s808,Tiger,1.0,1,True,BOT,Fish,1.0,3,I will participate.,False,2018-07-02 22:37:11.043659+00:00
w96xgc75,2,1850,2,star,True,ywj5s808,Tiger,1.0,1,True,BOT,Deer,1.0,2,I will participate.,False,2018-07-02 22:37:11.074778+00:00
